City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nieuw Amsterdam,SR,2022-04-17 04:21:48,5.8833,-55.0833,78.03,90,68,6.71
68,Kavieng,PG,2022-04-17 04:21:48,-2.5744,150.7967,84.6,71,26,8.03
69,Upernavik,GL,2022-04-17 04:21:49,72.7868,-56.1549,-19.82,100,68,8.16
70,Toyooka,JP,2022-04-17 04:21:49,35.5333,134.8333,66.25,25,0,8.05
71,Cayenne,GF,2022-04-17 04:21:49,4.9333,-52.3333,80.1,1,100,3.0
72,San Quintin,MX,2022-04-17 04:20:24,30.4833,-115.95,59.23,85,0,16.49
73,Cordoba,AR,2022-04-17 04:20:18,-31.4135,-64.1811,59.18,76,0,6.91
74,Tiznit,MA,2022-04-17 04:21:50,29.5833,-9.5,72.16,21,33,6.53
75,Mahebourg,MU,2022-04-17 04:21:50,-20.4081,57.7,80.26,100,75,17.27
76,Mount Gambier,AU,2022-04-17 04:21:51,-37.8333,140.7667,67.51,70,100,11.12
77,Conceicao Do Araguaia,BR,2022-04-17 04:21:51,-8.2578,-49.2647,72.82,96,100,1.16
78,Qaanaaq,GL,2022-04-17 04:21:51,77.484,-69.3632,-21.1,73,5,7.96
79,Punta Arenas,CL,2022-04-17 04:16:52,-53.15,-70.9167,44.71,93,75,16.11
80,Guerrero Negro,MX,2022-04-17 04:21:52,27.9769,-114.0611,59.95,84,73,17.83
81,Castro,BR,2022-04-17 04:21:52,-24.7911,-50.0119,48.85,99,9,5.46
82,Hamilton,US,2022-04-17 04:21:52,39.1834,-84.5333,46.72,55,0,11.5
83,Poum,NC,2022-04-17 04:21:53,-20.2333,164.0167,78.8,63,1,8.59
84,Geraldton,AU,2022-04-17 04:21:53,-28.7667,114.6,72.01,60,71,12.66
85,Puerto Ayora,EC,2022-04-17 04:21:53,-0.7393,-90.3518,75.27,92,72,5.12
86,Bredasdorp,ZA,2022-04-17 04:21:54,-34.5322,20.0403,55.58,87,2,6.78
87,Butaritari,KI,2022-04-17 04:21:54,3.0707,172.7902,82.2,75,58,11.45
88,Sao Filipe,CV,2022-04-17 04:21:55,14.8961,-24.4956,70.5,80,33,6.51
89,Kungurtug,RU,2022-04-17 04:21:55,50.5994,97.5228,44.15,57,7,0.92
90,Taguatinga,BR,2022-04-17 04:21:55,-12.3857,-46.5711,72.61,93,97,1.81
91,Lorengau,PG,2022-04-17 04:21:55,-2.0226,147.2712,84.69,71,48,4.09
92,Portel,BR,2022-04-17 04:21:56,-1.9356,-50.8211,73.63,97,100,3.06
93,Barrow,US,2022-04-17 04:21:56,71.2906,-156.7887,6.82,78,0,14.97
94,Russell,US,2022-04-17 04:21:56,32.3502,-85.1999,64.0,93,100,2.93
95,Yulara,AU,2022-04-17 04:21:57,-25.2406,130.9889,89.44,18,4,5.75
96,Aden,YE,2022-04-17 04:21:57,12.7794,45.0367,81.21,80,53,5.37
97,Honningsvag,NO,2022-04-17 04:21:58,70.9821,25.9704,38.95,81,100,26.46
98,Sao Joao Da Barra,BR,2022-04-17 04:21:58,-21.6403,-41.0511,67.89,81,34,9.57
99,Kodiak,US,2022-04-17 04:18:29,57.79,-152.4072,38.71,87,100,12.66
