City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Acarau,BR,-2.8856,-40.12,78.06,85,73,5.88,moderate rain
79,Lasa,IT,46.6166,10.7002,38.35,67,12,6.31,few clouds
80,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,39,8.66,scattered clouds
81,Mackay,AU,-21.15,149.2,83.68,69,5,17.27,clear sky
82,Cabo San Lucas,MX,22.8909,-109.9124,83.5,22,75,3.44,broken clouds
83,Santiago De Cao,PE,-7.9589,-79.2392,64.53,88,75,5.75,fog
84,Nuqui,CO,5.7125,-77.2708,76.82,90,100,4.47,overcast clouds
85,Puerto Colombia,CO,10.9878,-74.9547,80.69,88,62,19.24,broken clouds
86,Yellowknife,CA,62.456,-114.3525,14.52,48,75,9.22,broken clouds
87,Mumford,GH,5.2618,-0.759,78.44,84,100,5.64,overcast clouds
88,Jaru,BR,-10.4389,-62.4664,72.75,97,97,2.62,moderate rain
89,Ahipara,NZ,-35.1667,173.1667,68.0,69,100,17.34,overcast clouds
90,Saint Marys,US,30.7305,-81.5465,73.45,89,0,6.91,clear sky
91,Naze,JP,28.3667,129.4833,67.12,58,90,10.18,overcast clouds
92,Mozarlandia,BR,-14.7447,-50.5706,72.1,65,87,7.58,overcast clouds
93,Adrar,MR,20.5022,-10.0711,76.17,15,0,12.17,clear sky
94,Hede,CN,33.7681,120.2517,61.81,33,8,5.82,clear sky
95,Pangai,TO,-19.8,-174.35,81.68,77,98,8.03,light rain
96,Durban,ZA,-29.8579,31.0292,62.92,95,100,4.0,overcast clouds
97,Ponta Delgada,PT,37.7333,-25.6667,61.52,82,20,10.36,few clouds
98,Novocheremshansk,RU,54.3571,50.1666,40.42,77,100,11.12,light rain
99,Piacabucu,BR,-10.4056,-36.4344,78.91,87,20,8.72,few clouds
100,Egvekinot,RU,66.3167,-179.1667,22.84,86,39,8.95,scattered clouds
101,Portland,US,45.5234,-122.6762,50.79,64,60,11.01,broken clouds
102,Kamenka,RU,51.3223,42.7678,50.22,78,100,12.08,overcast clouds
103,Awbari,LY,26.5921,12.7805,62.92,42,0,14.7,clear sky
104,Inta,RU,66.0317,60.1659,14.22,95,90,8.63,overcast clouds
105,Port Hawkesbury,CA,45.6169,-61.3485,49.8,70,0,14.97,clear sky
106,Garmsar,IR,35.2182,52.3409,57.04,51,32,2.01,scattered clouds
107,Port Lincoln,AU,-34.7333,135.8667,66.49,74,100,9.08,light rain
108,Winkler,CA,49.1817,-97.941,21.16,63,7,3.44,clear sky
109,Codrington,AU,-38.2667,141.9667,79.3,30,100,24.43,overcast clouds
110,Arraial Do Cabo,BR,-22.9661,-42.0278,72.61,70,0,14.92,clear sky
111,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,72,75,6.91,broken clouds
112,Ongandjera,NA,-17.8833,15.0667,70.57,42,48,8.7,scattered clouds
113,Bonthe,SL,7.5264,-12.505,77.32,81,23,5.14,few clouds
114,Geraldton,AU,-28.7667,114.6,68.41,68,100,16.11,overcast clouds
115,Nantucket,US,41.2835,-70.0995,56.01,87,0,10.36,clear sky
116,Labuhan,ID,-6.8844,112.2051,84.69,74,48,3.78,scattered clouds
117,Tiarei,PF,-17.5333,-149.3333,87.82,74,10,10.22,light rain
118,Fukue,JP,32.6881,128.8419,62.96,67,20,4.61,few clouds
119,Port Hardy,CA,50.6996,-127.4199,48.38,53,40,16.11,scattered clouds
120,Chimbote,PE,-9.0853,-78.5783,65.84,86,100,7.11,overcast clouds
121,Kloulklubed,PW,7.0419,134.2556,84.7,72,47,0.85,scattered clouds
122,Neiafu,TO,-18.65,-173.9833,84.88,79,40,10.36,scattered clouds
123,Qinhuangdao,CN,39.9317,119.5883,64.9,22,100,9.93,overcast clouds
124,Oriximina,BR,-1.7656,-55.8661,75.15,94,100,1.14,overcast clouds
125,Maneadero,MX,31.7167,-116.5667,61.11,79,0,7.0,clear sky
126,Yamada,JP,39.4667,141.95,53.62,46,0,7.16,clear sky
127,Victoria,HK,22.2855,114.1577,71.26,77,99,11.01,overcast clouds
128,Jinxiang,CN,27.4327,120.6062,57.06,62,100,9.51,overcast clouds
129,Sambava,MG,-14.2667,50.1667,72.55,87,5,8.5,clear sky
130,Qaanaaq,GL,77.484,-69.3632,-19.86,73,8,7.36,clear sky
131,Severo-Kurilsk,RU,50.6789,156.125,32.86,78,100,11.1,overcast clouds
132,Ekhabi,RU,53.5102,142.9671,31.6,78,100,10.54,overcast clouds
133,Palamos,ES,41.8484,3.1291,63.91,40,0,5.26,clear sky
134,Barsovo,RU,61.1667,73.1667,24.93,78,100,10.58,overcast clouds
135,Pevek,RU,69.7008,170.3133,7.65,89,100,6.44,overcast clouds
136,Mbaiki,CF,3.8678,17.9892,72.0,79,67,2.3,broken clouds
137,Krasnyy Kholm,RU,58.0607,37.1203,26.26,90,11,7.94,few clouds
138,Nome,US,64.5011,-165.4064,34.16,75,0,18.41,clear sky
139,Tual,ID,-5.6667,132.75,83.21,72,100,1.59,heavy intensity rain
140,San Cristobal,VE,7.7669,-72.225,75.38,97,100,4.21,overcast clouds
141,Flinders,AU,-34.5833,150.8552,77.05,59,2,11.01,clear sky
142,Pisco,PE,-13.7,-76.2167,65.01,82,0,13.8,clear sky
143,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,60,0,11.5,clear sky
144,Broome,US,42.2506,-75.833,41.45,82,75,4.61,mist
145,Tiksi,RU,71.6872,128.8694,4.06,91,29,6.26,scattered clouds
146,Kamaishi,JP,39.2667,141.8833,52.0,50,0,9.75,clear sky
147,Mbandaka,CD,0.0487,18.2603,73.27,88,100,0.34,light rain
148,Port Moresby,PG,-9.4431,147.1797,87.22,66,40,3.44,haze
149,Half Moon Bay,US,37.4636,-122.4286,61.29,69,0,19.57,clear sky
150,Georgetown,MY,5.4112,100.3354,85.95,87,20,5.01,few clouds
151,Avarua,CK,-21.2078,-159.775,84.25,74,75,12.66,broken clouds
152,Saskylakh,RU,71.9167,114.0833,18.72,92,100,18.99,overcast clouds
153,Olinda,BR,-8.0089,-34.8553,82.13,83,40,8.05,scattered clouds
154,Hobyo,SO,5.3505,48.5268,82.45,78,10,14.16,clear sky
155,Husavik,IS,66.0449,-17.3389,40.93,88,82,8.37,broken clouds
156,Lavrentiya,RU,65.5833,-171.0,31.1,95,100,10.38,light snow
157,Itarema,BR,-2.9248,-39.9167,77.79,85,85,5.44,moderate rain
